29.10,0.98,19.13,18.47
29.20,0.98,19.24,18.48
29.30,0.98,19.35,18.49
29.40,0.99,19.46,18.50
29.50,0.99,19.57,18.51
29.60,0.99,19.68,18.52
29.70,0.99,19.80,18.52
29.80,0.99,19.91,18.53
29.90,0.99,20.02,18.54
30.00,0.99,20.13,18.55
30.10,0.99,20.24,18.56
30.20,0.99,20.35,18.57
30.30,0.99,20.46,18.58
30.40,1.00,20.57,18.58
30.50,1.00,20.69,18.59
30.60,1.00,20.80,18.60
30.70,1.00,20.91,18.61
30.80,1.00,21.02,18.62
30.90,1.00,21.13,18.63
31.00,1.00,21.24,18.64
31.10,1.00,21.35,18.64
31.20,1.00,21.47,18.65
31.30,1.00,21.58,18.66
31.40,1.01,21.69,18.67
31.50,1.01,21.80,18.68
31.60,1.01,21.91,18.69
31.70,1.01,22.02,18.69
31.80,1.02,22.13,18.70
31.90,1.03,22.24,18.71
32.00,1.04,22.36,18.72
32.10,1.05,22.47,18.73
32.20,1.05,22.58,18.74
32.30,1.06,22.69,18.75
32.40,1.07,22.80,18.75
32.50,1.08,22.91,18.76
32.60,1.09,23.02,18.77
32.70,1.10,23.13,18.78
32.80,1.11,23.25,18.79
32.90,1.11,23.36,18.80
33.00,1.12,23.47,18.81
33.10,1.13,23.58,18.81
33.20,1.13,23.69,18.82
33.30,1.13,23.80,18.83
33.40,1.13,23.91,18.84
33.50,1.13,24.03,18.85
33.60,1.13,24.16,18.86
33.70,1.14,24.29,18.86
33.80,1.14,24.42,18.87
33.9,1.14,24.56,18.9
34,1.14,24.69,18.9
34.1,1.14,24.82,18.9
34.2,1.14,24.95,18.9
34.3,1.14,25.08,18.9
34.4,1.14,25.21,18.9
34.5,1.14,25.35,18.9
34.6,1.14,25.48,18.9
34.7,1.14,25.61,18.9
34.8,1.14,25.74,19.0
34.9,1.15,25.87,19.0
35,1.15,26.00,19.0
35.1,1.15,26.13,19.0
35.2,1.15,26.27,19.0
35.3,1.15,26.40,19.0
35.4,1.16,26.53,19.0
35.5,1.16,26.66,19.0
35.6,1.16,26.79,19.0
35.7,1.16,26.92,19.0
35.8,1.17,27.05,19.0
35.9,1.17,27.19,19.1
36,1.17,27.32,19.1
36.1,1.18,27.45,19.1
36.2,1.18,27.58,19.1
36.3,1.18,27.71,19.1
36.4,1.18,27.84,19.1
36.5,1.19,27.98,19.1
36.6,1.19,28.11,19.1
36.7,1.19,28.24,19.1
36.8,1.19,28.37,19.1
36.9,1.20,28.50,19.1
37,1.20,28.63,19.1
37.1,1.21,28.76,19.2
37.2,1.21,28.90,19.2
37.3,1.21,29.03,19.2
37.4,1.22,29.16,19.2
37.5,1.22,29.29,19.2
37.6,1.23,29.36,19.2
37.7,1.23,29.36,19.2
37.8,1.23,29.36,19.2
37.9,1.24,29.36,19.2
38,1.24,29.36,19.2
38.1,1.24,29.36,19.2
38.2,1.25,29.36,19.2
38.3,1.25,29.36,19.3
38.4,1.26,29.36,19.3
38.5,1.26,29.36,19.3
38.6,1.26,29.36,19.3
38.7,1.26,29.36,19.3
38.8,1.27,29.36,19.3
38.9,1.27,29.36,19.3
39,1.27,29.36,19.3
39.1,1.27,29.36,19.3
39.2,1.28,29.36,19.3
39.3,1.28,29.36,19.3
39.4,1.28,29.36,19.3
39.5,1.28,29.36,19.4
39.6,1.39,29.36,19.4
39.7,1.57,29.36,19.4
39.8,1.75,29.36,19.4
39.9,1.79,29.36,19.4
40,0.88,29.36,18.0
40.1,1.27,29.36,18.0
40.2,1.65,29.36,18.0
40.3,2.03,29.36,18.0
40.4,2.42,29.37,18.1
40.5,2.80,29.78,18.1
40.6,3.18,30.20,18.1
40.7,3.57,30.61,18.1
40.8,3.95,31.02,18.1
40.9,4.33,31.44,18.1
41,4.72,31.85,18.1
41.1,5.10,32.26,18.2
41.2,5.49,32.68,18.2
41.3,5.87,38.09,18.2
41.4,6.25,52.20,18.2
41.5,6.81,66.30,18.2
41.6,7.85,80.41,18.2
41.7,6.90,94.51,18.2
41.8,5.95,97.25,18.3
41.9,5.00,84.23,18.3
42,4.05,71.21,18.3
42.1,3.46,58.19,18.3
42.2,3.14,45.17,18.3
42.3,2.81,37.77,18.3
42.4,2.48,36.65,18.3
42.5,2.15,35.52,18.3
42.6,2.15,34.40,18.4
42.7,2.20,33.27,18.4
42.8,2.26,32.15,18.4
42.9,2.31,31.02,18.4
43,2.37,29.90,18.4
43.1,2.42,28.77,18.4
43.2,2.48,27.65,18.4
43.3,2.53,26.52,18.5
43.4,2.59,27.13,18.5
43.5,3.23,31.06,18.5
43.6,4.81,34.99,18.5
43.7,6.39,38.91,18.5
43.8,7.97,42.84,18.5
43.9,8.78,46.77,18.5
44,8.64,50.69,18.6
44.1,8.51,54.62,18.6
44.2,8.37,58.55,18.6
44.3,8.23,69.73,18.6
44.4,8.10,84.19,18.6
44.5,9.16,95.69,18.6
44.6,16.79,96.33,18.6
44.7,19.20,96.97,18.7
44.8,19.19,97.62,18.7
44.9,19.17,98.26,18.7
45,19.16,98.90,18.7
45.1,19.14,99.54,18.7
45.2,19.13,100.19,18.7
45.3,19.11,100.83,18.7
45.4,19.10,101.47,18.8
45.5,19.08,102.12,18.8
45.6,19.07,102.39,18.8
45.7,19.05,98.78,18.8
45.8,19.04,95.16,18.8
45.9,16.86,91.54,18.8
46,13.87,87.93,18.8
46.1,11.41,84.09,18.8
46.2,9.91,78.88,18.9
46.3,8.40,73.67,18.9
46.4,6.90,68.46,18.9
46.5,5.40,63.26,18.9
46.6,3.90,58.05,18.9
46.7,3.53,52.84,18.9
46.8,3.37,41.54,18.9
46.9,3.22,29.97,19.0
47,3.07,24.69,19.0
47.1,2.91,26.14,19.0
47.2,2.76,27.59,19.0
47.3,2.61,29.03,19.0
47.4,2.45,30.48,19.0
47.5,3.59,31.93,19.0
47.6,4.80,34.10,19.1
47.7,6.00,37.96,19.1
47.8,7.21,41.82,19.1
47.9,7.99,45.67,19.1
48,7.25,49.53,19.1
48.1,6.51,53.39,19.1
48.2,5.77,57.25,19.1
48.3,5.03,61.10,19.2
48.4,4.29,61.44,19.2
48.5,3.55,61.31,19.2
48.6,4.65,61.18,19.2
48.7,5.94,61.05,19.2
48.8,7.23,60.92,19.2
48.9,8.52,60.79,19.2
49,9.80,60.66,19.3
49.1,11.09,60.52,19.3
49.2,10.93,60.39,19.3
49.3,9.79,60.26,19.3
49.4,8.66,60.13,19.3
49.5,7.53,60.00,19.3
49.6,6.40,59.87,19.3
49.7,6.47,59.20,19.3
49.8,6.73,57.15,19.4
49.9,6.99,55.10,19.4
50,7.25,53.05,19.4
50.1,7.51,51.00,19.4
50.2,7.77,48.95,19.4
50.3,8.03,46.90,19.4
50.4,8.29,44.85,19.4
50.5,8.29,42.80,19.5
50.6,7.24,40.75,19.5
50.7,6.19,38.70,19.5
50.8,5.14,36.66,19.5
50.9,4.30,34.61,19.5
51,4.10,32.56,19.5
51.1,3.90,30.51,19.5
51.2,3.71,30.00,19.6
51.3,3.51,31.45,19.6
51.4,3.31,32.89,19.6
51.5,3.12,34.34,19.6
51.6,2.92,35.79,19.6
51.7,3.78,37.23,19.6
51.8,6.52,38.68,19.6
51.9,9.26,40.23,19.7
52,11.32,46.37,19.7
52.1,10.77,52.52,19.7
52.2,10.22,58.67,19.7
52.3,9.68,64.82,19.7
52.4,9.13,70.37,19.7
52.5,8.58,68.52,19.7
52.6,8.03,66.68,19.8
52.7,7.49,64.84,19.8
52.8,6.94,63.00,19.8
52.9,6.39,61.16,19.8
53,5.84,59.32,19.8
53.1,5.54,57.48,19.8
53.2,6.51,55.64,19.8
53.3,7.48,53.80,19.9
53.4,8.45,51.95,19.9
53.5,9.42,50.11,19.9
53.6,10.39,48.27,19.9
53.7,10.07,46.43,19.9
53.8,9.02,44.96,19.9
53.9,7.98,43.91,19.9
54,6.93,42.86,19.9
54.1,5.88,41.81,20.0
54.2,4.84,40.75,20.0
54.3,3.79,39.70,20.0
54.4,3.33,38.65,20.0
54.5,3.37,37.60,20.0
54.6,3.41,36.55,20.0
54.7,3.45,35.49,20.0
54.8,3.49,34.44,20.1
54.9,3.53,33.39,20.1
55,3.57,32.34,20.1
55.1,3.61,31.29,20.1
55.2,3.65,31.15,20.1
55.3,3.91,31.15,20.1
55.4,4.20,31.15,20.1
55.5,4.49,31.15,20.2
55.6,4.79,31.15,20.2
55.7,5.08,31.15,20.2
55.8,5.37,31.15,20.2
55.9,5.66,31.15,20.2
56,8.70,31.15,20.2
56.1,12.57,31.15,20.2
56.2,14.25,31.15,20.3
56.3,12.66,31.15,20.3
56.4,11.07,31.15,20.3
56.5,9.49,31.15,20.3
56.6,7.90,31.15,20.3
56.7,6.31,31.15,20.3
56.8,4.84,31.15,20.3
56.9,4.61,31.15,20.4
57,4.37,31.15,20.4
57.1,4.13,31.16,20.4
57.2,3.89,31.33,20.4
57.3,3.65,31.51,20.4
57.4,3.41,31.68,20.4
57.5,3.17,31.85,20.4
57.6,2.93,32.02,20.4
57.7,2.82,32.19,20.5
57.8,2.87,32.36,20.5
57.9,2.92,32.53,20.5
58,2.98,32.70,20.5
58.1,3.03,32.87,20.5
58.2,3.09,33.04,20.5
58.3,3.14,33.21,20.5
58.4,3.20,33.38,20.6
58.5,3.25,33.55,20.6
58.6,3.31,33.72,20.6
58.7,3.77,33.89,20.6
58.8,4.24,34.06,20.6
58.9,4.72,34.23,20.6
59,5.20,34.40,20.6
59.1,5.68,34.57,20.7
59.2,6.16,34.93,20.7
59.3,6.63,38.06,20.7
59.4,7.11,41.20,20.7
59.5,7.57,44.33,20.7
59.6,7.97,47.47,20.7
59.7,8.38,50.60,20.7
59.8,8.78,53.74,20.8
59.9,9.19,56.87,20.8
60,9.59,62.34,20.8
60.1,10.00,69.09,20.8
60.2,10.40,75.84,20.8
60.3,10.81,82.59,20.8
60.4,11.21,83.89,20.8
60.5,11.62,84.81,20.9
60.6,12.16,85.73,20.9
60.7,12.71,86.65,20.9
60.8,13.26,87.57,20.9
60.9,13.81,88.49,20.9
61,14.36,89.41,20.9
61.1,14.90,90.33,20.9
61.2,15.45,91.25,20.9
61.3,16.00,92.17,21.0
61.4,16.55,93.09,21.0
61.5,17.50,94.01,21.0
61.6,18.79,94.93,21.0
61.7,20.07,95.55,21.0
61.8,21.35,95.55,21.0
61.9,22.64,95.55,21.0
62,23.91,95.55,21.1
62.1,25.05,95.55,21.1
62.2,26.19,95.55,21.1
62.3,27.33,95.55,21.1
62.4,28.27,95.55,21.1
62.5,27.21,95.55,21.1
62.6,26.14,95.55,21.1
62.7,25.08,95.55,21.2
62.8,24.01,95.55,21.2
62.9,22.95,95.55,21.2
63,5.10,87.85,17.0
63.1,4.61,79.89,17.1
63.2,4.12,71.94,17.1
63.3,3.83,63.98,17.2
63.4,3.82,56.02,17.3
63.5,3.81,48.07,17.4
63.6,3.80,40.11,17.4
63.7,3.79,36.28,17.5
63.8,3.78,35.84,17.6
63.9,3.77,35.41,17.7
64,3.76,34.98,17.7
64.1,3.75,34.54,17.8
64.2,3.75,34.11,17.9
64.3,3.74,33.67,18.0
64.4,3.73,33.24,18.0
64.5,3.72,32.81,18.1
64.6,3.71,32.37,18.2
64.7,3.70,31.94,18.3
64.8,3.69,31.50,18.3
64.9,3.68,31.15,18.4
65,3.67,31.15,18.5
65.1,3.66,31.15,18.6
65.2,3.66,31.15,18.6
65.3,3.65,31.15,18.7
65.4,3.64,31.15,18.8
65.5,3.63,31.15,18.9
65.6,3.62,31.15,18.9
65.7,3.61,31.15,19.0
65.8,3.60,31.15,19.1
65.9,3.59,31.15,19.1
66,3.58,31.15,19.2
66.1,3.58,31.15,19.3
66.2,3.57,31.15,19.4
66.3,3.56,31.15,19.4
66.4,3.55,31.15,19.5
66.5,3.54,31.15,19.6
66.6,3.53,31.15,19.7
66.7,3.52,31.15,19.7
66.8,3.51,31.15,19.8
66.9,3.50,31.15,19.9
67,3.49,31.15,20.0
67.1,3.49,31.15,20.0
67.2,3.60,31.15,20.1
67.3,3.74,31.55,20.2
67.4,3.89,32.13,20.3
67.5,4.03,32.71,20.3
67.6,4.18,33.28,20.4
67.7,4.33,33.86,20.5
67.8,4.47,34.44,20.6
